,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS.,,,,,Brand,,,,,,,,,,,Sprinkler,,,,,,,Elite,,,,,,DIS.,,,,Brand,,,,,,,,,,,,,,DIS.,,,,Brand,,,,,,,,,,,
Pipes,,,,,Seamless,,,,,ERW 40,,,HDPE, 1 PC=12M,,N.O,DIS.,Type,K Factor,Celsius,Size,Unit,TAYCO,Victolic,NAFFCO,Lifeco,Viking,,Fiting,,,,ELITE,,,,,ITCC,,,,,,DUKAN ,,,,DIS.,,,ELITE,,,,ITCC,,,,,,DUKAN ,
,,,,,IMDADAT,IMS,,IMDADAT(khaled),IMDADAT(ali),ELITE,,JASCO  ,Al-wasail,UNIT IS M,,1,STANDARD RESPONSE TY-FRB,Pendent,5.6,68 °C,1/2'',PC,12,,,,,,N.O,DIS.,size in inch,Unit,TAYCO,LEDE ,GMC,GIACOMINI,POTTER,SHORGOINT,HITACHI,,,,,PC,TOTAL,,N.O,VALVES,size in inch,Unit,TAYCO ,LEDE ,GIACOMINI,POTTER,SHORGOINT,HITACHI,,,,,PC,TOTAL
N.O,Pipe,size in inch,Size in mm,Unit,Interpipe,Interpipe,NKK,Jasco China-UL,Jasco China-UL,Aljazeera oman,GMC,Jasco KSA-UL/FM,Al-wasail in(M),SIZE,,2,ESFR-25 TY9226;NPT; PEN; Brass ,Pendent,25.2,74 °C,1'',PC,81,,,,,,1,Mecanical Tee  GROOVED * THREADED,3*1 1/2'',PC,15,,,,,,,,,,,,0,,,,,PC,,,,,,,,,,,,0
1,Pipe,3/4'',,PC-6m,,,,-,45,,38,36,,,,3,QUICK RESPONSE TY323 STANDARD COVERAGE,Pendent,5.6,68 °C,1/2'',PC,16.5,,,,,,2,Mecanical Tee  GROOVED * THREADED,6*1 1/2,PC,32,,,,,,,,,,,10,320,,1,BALL VALVES,1/2'',PC,,,46,,,,,,,,10,460
2,Pipe,1/2'',,PC-6m,,,,-,36,,28,28,,,,4,"PENDENT DRY ESFR-17 TY7229  NPT BRASS 23"" LENGTH ",Pendent,16.8,74 °C,"1""",PC,900,,,,,,3,Mecanical Tee  GROOVED ,6*2 1/2'',PC,35,,,,,,,,,,,122,4270,,2,TEST AND DRAIN VALVE,2'',PC,,,85,,,,,,,,5,425
3,Pipe,1'',,PC-6m,125,129,,64,58,52,48,53,,,,5,,,,,,,,,,,,,4,Mecanical Tee GROOVED ,2 1/2 *3/4'',PC,,,,,,36,,,,,,550,19800,,3,TEST AND DRAIN VALVE,1'',PC,,,280,,,,,,,,28,7840
4,Pipe,1.25'',,PC-6m,150,156,,85,77,72,68,72,,,,6,,,,,,,,,,,,,5,Mecanical Tee  GROOVED * THREADED,6*2 '',PC,5,,,,,,,,,,,1,5,,4,GROOVED END SWING CHECK VALVES,6'',PC,1050,,,,,,,,,,9,9450
5,Pipe,1.5'',,PC-6m,200,186,,99,86,83,78,85,,,,7,,,,,,,,,,,,,6,Mecanical Tee  GROOVED * THREADED,4*1 1/2'',PC,15,,,,,,,,,,,12,180,,5,"POTTER VSR-2"""" WATER FLOW INDICATOR",2'',PC,,,,350,,,,,,,1,350
6,Pipe,2'',,PC-6m,275,221,,130,116,114,105,114,,,,8,STANDARD RESPONSE TY-FRB,Upright,5.6,68 °C,1/2'',PC,11,,,,,,7,Mecanical Tee  GROOVED * THREADED,2 1/2 * 1 1/2'',PC,13,,,,,,,,,,,23,299,,6,POTTER OSYSU-1  FLOW SWITCH,1'',PC,,,,230,,,,,,,1,230
7,Pipe,2.5'',,PC-6m,420,350,,215,183,190,160,182,6.8,63 mm,,9,ESFR-17; TY7126 - Brass,Upright,16.8,74 °C,3/4'',PC,64,,,,,,8,Mecanical Tee  GROOVED * THREADED,3*1 1/2'',PC,15,,,,,,,,,,,2,30,,7,"POTTER VSR-2"""" WATER FLOW INDICATOR",3'',PC,,,,350,,,,,,,1,350
8,Pipe,3'',,PC-6m,650,458,,280,243,235,215,236,13.5,90 mm,,10,QUICK RESPONSE TY313 STANDARD COVERAGE,Upright,5.6,67 °C,1/2'',PC,16.5,,,,,,9,Mecanical Tee  GROOVED ,10*8'',PC,65,,,,,,,,,,,2,130,,8,GROOVED END SWING CHECK VALVES,3'',PC,550,,,,,,,,,,1,550
9,Pipe,4'',,PC-6m,750,651,,395,332,335,315,336,18.5,110mm,,11,ESFR- SPV V4102 Dry SPKLR FAS RESPONSE ,Dry Upright,16.8,79 °C,,PC,,1100,,,,,10,Mecanical Tee GROOVED * THREADED ,6*1/2'',PC,32,,,,,,,,,,,20,640,,9,Air Release Valve,1'',PC,450,,,,,,,,,,10,4500
10,Pipe,6'',,PC-6m,1350,1145,,675,575,595,550,590,39,160 mm,,12,,,,,,,,,,,,,11,Mecanical Tee,2 1/2 * 1'',PC,12,,,,,,,,,,,200,2400,,10,"POTTER VSR-6"""" WATER FLOW INDICATOR",6'',PC,,,,340,,,,,,,8,2720
11,Pipe,8'',,PC-6m,1900,,,1050,870,950,860,,60.5,200 mm,,13,,,,,,,,,,,,,12,Mecanical Tee GROOVED * THREADED ,6*1'',PC,30,,,,,,,,,,,4,120,,11,GROOVED END BUTTERFLY VALVES,2'',PC,450,,,,,,,,,,1,450
12,Pipe,10'',,PC-6m,3387,2443,,,1240,-,-,-,89.5,250 mm,,14,,,,,,,,,,,,,13,Mecanical Tee,1'',PC,,,,,,,9,,,,,84,756,,12,"TYCO TJRX OS&Y VALVE,FLANGED",8'',PC,2100,,,,,,,,,,2,4200
13,Pipe,12'',,PC-6m,3300,3445,,,2008,,-,-,141,315 mm,,15,,,,,,,,,,,,,14,Mecanical Tee GROOVED ,2 1/2* 1'',PC,,16,,,,,,,,,,350,5600,,13,ALARM CHECK VALVE,8'',PC,5200,,,,,,,,,,1,5200
,,,,,,,,,,,,,348,400 mm,,,,,,,,,,,,,,,15,Mecanical Tee,6'',PC,,83,,,,,,,,,,1,83,,14,GROOVED END SWING CHECK VALVES,2 1/2'',PC,500,,,,,,,,,,1,500
,,,,,,,,,,,,,680,560 mm,,,,,,,,,,,,,,,16,Mecanical Tee,2 1/2* 1'',PC,,14,,,,,,,,,,300,4200,,15,GROOVED END BUTTERFLY VALVES,6'',PC,800,,,,,,,,,,8,6400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,REDUCERS,1 1/2* 1 1/4'',PC,7,,,,,,,,,,,20,,,16,GROOVED END BUTTERFLY VALVES,3'',PC,550,,,,,,,,,,1,550
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,GROOVED ELBOW 45,6'',PC,43,,,,,,,,,,,12,516,,45, ZONE CONTROL VALVE GROOVED,2 1/2'',PC,2100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,GROOVED COUPLING ,2 1/2'',PC,,14,,,,,,,,,,500,7000,,46, ZONE CONTROL VALVE  FLANGE,2 1/2'',PC,2100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,REDUCING COUPLING ,8*4'',PC,10,,,,,,,,,,,200,2000,,47, ZONE CONTROL VALVE  FLANGE,"3""",PC,2250,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,REDUCING COUPLING ,6'',PC,22,,,,,,,,,,,100,2200,,48, ZONE CONTROL VALVE  FLANGE,"4""",PC,2570,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,REDUCING COUPLING ,1 1/4*1 1/2'',PC,,,,,,,10,,,,,34,340,,49, ZONE CONTROL VALVE  FLANGE,"6""",PC,2915,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,REDUCING COUPLING ,1*1 1/2'',PC,,,,,,,90,,,,,12,1080,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,REDUCING COUPLING ,1*1 1/2'',PC,,,,,,,7.98,,,,,6,47.88,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,REDUCING COUPLING ,1*1 1/4'',PC,,,,,,,5.51,,,,,5,27.55,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,GROOVED ELBOW 90,8'',PC,90,,,,,,,,,,,6,540,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,ELBOW 90,1 1/2'',PC,7,,,,,,,,,,,34,238,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,GROOVED ELBOW 90,2.5'',PC,18,,,,,,,,,,,3,54,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,GROOVED ELBOW 90,1'',PC,,,,,,,6,,,,,184,1104,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,GROOVED ELBOW 90,6'',PC,52,,,,,,,,,,,22,1144,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,END CAP,3'',PC,7,,,,,,,,,,,2,14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,END CAP,6'',PC,22,,,,,,,,,,,1,22,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Mecanical Tee GROOVED,10'',PC,235,,,,,,,,,,,1,235,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,FLEXIBLE COUPLING,8'',PC,,55,,,,,,,,,,12,660,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,FLEXIBLE COUPLING,6'',PC,,22,,,,,,,,,,80,1760,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,FLEXIBLE COUPLING,3'',PC,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,FLEXIBLE COUPLING,2.5'',PC,10,,,,,,,,,,,310,3100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,TJRX OS&Y VALVE F X F,2 1/2'',PC,550,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,FDC - BRASS BODY - TWO-WAY INLETS,6*2.5*2.5,PC,,,,1370,,,,,,,,2,2740,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40, FIRE HYDRANT,6 *2 1/2'',PC,,,4100,,,,,,,,,,0,,,,,,,,,,,,,,,,,
